"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 09 20:50:09 GMT 2024","Mon Dec 09 20:50:09 GMT 2024","47","tests.tests.georchestra-base","test_georchestra_apps","","","","Test the GeoServer webapp","This test attempts to load the GeoServer main page."
"broken","Mon Dec 09 20:50:09 GMT 2024","Mon Dec 09 20:50:09 GMT 2024","25","tests.tests.georchestra-base","test_georchestra_apps","","","","Test the MapStore webapp","This test attempts to load the MapStore landing page."
"broken","Mon Dec 09 20:50:08 GMT 2024","Mon Dec 09 20:50:08 GMT 2024","14","tests.tests.georchestra-base","test_georchestra_apps","","","","Test the 'create account' interface from the Console","This test attempts to load the 'create account' page from the Console."
"broken","Mon Dec 09 20:50:07 GMT 2024","Mon Dec 09 20:50:07 GMT 2024","59","tests.tests.georchestra-base","test_georchestra_apps","","","","Test the GeoNetwork webapp","This test attempts to load GeoNetwork."
"broken","Mon Dec 09 20:50:08 GMT 2024","Mon Dec 09 20:50:08 GMT 2024","27","tests.tests.georchestra-base","test_georchestra_apps","","","","Test the DataFeeder webapp","This test attempts to load the 'datafeeder'/'import' wizard page, from the DataFeeder geOrchestra webapp. As it requires to be logged into geOrchestra, an initial login is performed."
"broken","Mon Dec 09 20:50:08 GMT 2024","Mon Dec 09 20:50:08 GMT 2024","11","tests.tests.georchestra-base","test_georchestra_apps","","","","Test the 'password recovery' interface from the Console","This test attempts to load the 'password recovery' page from the Console."
